nome,fabricante,preco,precoParcelado,descontoPorcentagem,link,categoria,imagens,vendedor,isOpenBox,termino,disponivel
"SSD 240 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 350MB/s - SA400S37/240G",Kingston,124.99,142.03,30.0,https://kabum.com.br/produto/85197/ssd-240-gb-kingston-a400-sata-leitura-500mb-s-e-gravacao-350mb-s-sa400s37-240g,Hardware/SSD/SSD SATA,"['https://images.kabum.com.br/produtos/fotos/85197/85197_1484306076_gg.jpg', 'https://images.kabum.com.br/produtos/fotos/85197/ssd-kingston-a400-240gb-sata-leitura-500mb-s-gravacao-350mb-s-sa400s37-240g_1629124194_original.jpg', 'https://images.kabum.com.br/produtos/fotos/85197/ssd-kingston-a400-240gb-sata-leitura-500mb-s-gravacao-350mb-s-sa400s37-240g_1629124235_original.jpg', 'https://images.kabum.com.br/produtos/fotos/85197/85197_index_gg.jpg', 'https://images.kabum.com.br/produtos/fotos/85197/85197_1484306080_gg.jpg']",KaBuM!,True,2023-06-01 08:00:00,161.0
"Memória Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8",Kingston FURY,159.99,188.22,11.0,https://kabum.com.br/produto/172365/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8,Hardware/Memória RAM/DDR 4,"['https://images.kabum.com.br/produtos/fotos/172365/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8_1626270523_original.jpg', 'https://images.kabum.com.br/produtos/fotos/172365/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8_1626270526_original.jpg', 'https://images.kabum.com.br/produtos/fotos/172365/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8_1626270525_original.jpg', 'https://images.kabum.com.br/produtos/fotos/172365/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8_1626270524_original.jpg']",KaBuM!,True,2023-06-01 08:00:00,146.0
"SSD 480 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 450MB/s - SA400S37/480G",Kingston,199.99,227.26,25.0,https://kabum.com.br/produto/85198/ssd-480-gb-kingston-a400-sata-leitura-500mb-s-e-gravacao-450mb-s-sa400s37-480g,Hardware/SSD/SSD SATA,"['https://images.kabum.com.br/produtos/fotos/85198/85198_1484306114_gg.jpg', 'https://images.kabum.com.br/produtos/fotos/85198/85198_index_gg.jpg', 'https://images.kabum.com.br/produtos/fotos/85198/85198_1484306119_gg.jpg', 'https://images.kabum.com.br/produtos/fotos/85198/ssd-kingston-a400-480gb-sata-leitura-500mb-s-gravacao-450mb-s-sa400s37-480g_1629133546_original.jpg', 'https://images.kabum.com.br/produtos/fotos/85198/ssd-kingston-a400-480gb-sata-leitura-500mb-s-gravacao-450mb-s-sa400s37-480g_1629133547_original.jpg']",KaBuM!,False,2023-06-01 08:00:00,312.0
"SSD 1 TB Kingston NV2, M.2 2280 PCIe, NVMe, Leitura: 3500 MB/s e Gravação: 2100 MB/s - SNV2S/1000G",Kingston,314.99,357.94,17.0,https://kabum.com.br/produto/380745/ssd-1-tb-kingston-nv2-m-2-2280-pcie-nvme-leitura-3500-mb-s-e-gravacao-2100-mb-s-snv2s-1000g,Hardware/SSD/SSD PCIe NVMe,"['https://images.kabum.com.br/produtos/fotos/380745/ssd-kingston-nv2-1-tb-m-2-2280-pcie-nvme-leitura-2-100-mb-s-e-gravacao-1-700-mb-s-snv2s-1000g_1666033119_original.jpg', 'https://images.kabum.com.br/produtos/fotos/380745/ssd-kingston-nv2-1-tb-m-2-2280-pcie-nvme-leitura-2-100-mb-s-e-gravacao-1-700-mb-s-snv2s-1000g_1666033118_original.jpg', 'https://images.kabum.com.br/produtos/fotos/380745/ssd-kingston-nv2-1-tb-m-2-2280-pcie-nvme-leitura-2-100-mb-s-e-gravacao-1-700-mb-s-snv2s-1000g_1666033120_original.jpg', 'https://images.kabum.com.br/produtos/fotos/380745/ssd-kingston-nv2-1-tb-m-2-2280-pcie-nvme-leitura-2-100-mb-s-e-gravacao-1-700-mb-s-snv2s-1000g_1666033117_original.jpg']",KaBuM!,False,2023-06-01 08:00:00,409.0
"Fonte XPG Core Reactor, 850W, 80 Plus Gold Modular",XPG,639.99,752.93,16.0,https://kabum.com.br/produto/103282/fonte-xpg-core-reactor-850w-80-plus-gold-modular,Hardware/Fontes/Fonte 850W,"['https://images.kabum.com.br/produtos/fotos/103282/fonte-xpg-core-reactor-850w-80-plus-gold-modular_fonte-xpg-core-reactor-850w-80-plus-gold-modular_1571154124_original.jpg', 'https://images.kabum.com.br/produtos/fotos/103282/fonte-xpg-core-reactor-850w-80-plus-gold-modular_fonte-xpg-core-reactor-850w-80-plus-gold-modular_1571154129_original.jpg', 'https://images.kabum.com.br/produtos/fotos/103282/fonte-xpg-core-reactor-850w-80-plus-gold-modular_fonte-xpg-core-reactor-850w-80-plus-gold-modular_1571154115_original.jpg', 'https://images.kabum.com.br/produtos/fotos/103282/fonte-xpg-core-reactor-850w-80-plus-gold-modular_fonte-xpg-core-reactor-850w-80-plus-gold-modular_1571154117_original.jpg', 'https://images.kabum.com.br/produtos/fotos/103282/fonte-xpg-core-reactor-850w-80-plus-gold-modular_fonte-xpg-core-reactor-850w-80-plus-gold-modular_1571154120_original.jpg', 'https://images.kabum.com.br/produtos/fotos/103282/fonte-xpg-core-reactor-850w-80-plus-gold-modular_1571154114_original.jpg']",KaBuM!,True,2023-06-01 08:00:00,117.0
"Memória XPG Gammix D10 8GB, 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-SB10",XPG,139.99,164.69,12.0,https://kabum.com.br/produto/155514/memoria-xpg-gammix-d10-8gb-3200mhz-ddr4-cl16-preto-ax4u32008g16a-sb10,Hardware/Memória RAM/DDR 4/3200MHz,"['https://images.kabum.com.br/produtos/fotos/155514/memoria-xpg-gammix-d10-8gb-3200mhz-ddr4-cl-16-preto-ax4u32008g16a-sb10_1625514904_original.jpg', 'https://images.kabum.com.br/produtos/fotos/155514/memoria-xpg-gammix-d10-8gb-3200mhz-ddr4-cl-16-preto-ax4u32008g16a-sb10_1625514905_original.jpg']",KaBuM!,True,2023-06-01 08:00:00,34.0
"Memória Gamer Husky Gaming, 8GB, 2666MHz, DDR4, CL19, Preto - HGMF001",Husky Gaming,99.99,117.64,28.0,https://kabum.com.br/produto/114222/memoria-gamer-husky-gaming-8gb-2666mhz-ddr4-cl19-preto-hgmf001,Hardware/Memória RAM/DDR 4,"['https://images.kabum.com.br/produtos/fotos/114222/memoria-husky-8gb-2666mhz-ddr4-cl19-preto-hmr-d4826_1597862504_original.jpg', 'https://images.kabum.com.br/produtos/fotos/114222/memoria-ram-husky-ddr4-2666mhz-8gb-hmr-d4826_1597688756_original.jpg', 'https://images.kabum.com.br/produtos/fotos/114222/memoria-ram-husky-ddr4-2666mhz-8gb-hmr-d4826_1597688753_original.jpg', 'https://images.kabum.com.br/produtos/fotos/114222/memoria-ram-husky-ddr4-2666mhz-8gb-hmr-d4826_1597688754_original.jpg']",KaBuM!,True,2023-06-01 08:00:00,6.0
"Water Cooler Rise Mode Gamer Black, RGB, 240mm, Preto - RM-WCB-02-RGB",Rise Mode,279.99,329.4,20.0,https://kabum.com.br/produto/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb,Hardware/Coolers/Water Cooler,"['https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776681_original.jpg', 'https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776682_original.jpg', 'https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776683_original.jpg', 'https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776685_original.jpg', 'https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776684_original.jpg', 'https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776686_original.jpg', 'https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776689_original.jpg', 'https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776687_original.jpg', 'https://images.kabum.com.br/produtos/fotos/130043/water-cooler-rise-mode-gamer-black-rgb-240mm-preto-rm-wcb-02-rgb_1663776688_original.jpg']",KaBuM!,True,2023-06-01 08:00:00,46.0
"Memória Gamer Husky Gaming Avalanche, 16GB, 3200MHz, DDR4, CL19, Preto - HGMF008",Husky Gaming,209.99,247.05,23.0,https://kabum.com.br/produto/162665/memoria-gamer-husky-gaming-avalanche-16gb-3200mhz-ddr4-cl19-preto-hgmf008,Hardware/Memória RAM/DDR 4,"['https://images.kabum.com.br/produtos/fotos/162665/memoria-gamer-husky-gaming-avalanche-16gb-3200mhz-ddr4-cl19-hgmf008_1630604969_original.jpg', 'https://images.kabum.com.br/produtos/fotos/162665/memoria-gamer-husky-gaming-avalanche-16gb-3200mhz-ddr4-cl19-hgmf008_1628163553_original.jpg', 'https://images.kabum.com.br/produtos/fotos/162665/memoria-gamer-husky-gaming-avalanche-16gb-3200mhz-ddr4-cl19-hgmf008_1630604968_original.jpg', 'https://images.kabum.com.br/produtos/fotos/162665/memoria-gamer-husky-gaming-avalanche-16gb-3200mhz-ddr4-cl19-hgmf008_1628163555_original.jpg', 'https://images.kabum.com.br/produtos/fotos/162665/memoria-gamer-husky-gaming-avalanche-16gb-3200mhz-ddr4-cl19-hgmf008_1628163554_original.jpg']",KaBuM!,True,2023-06-01 08:00:00,77.0
"SSD 500 GB Kingston NV2, M.2 2280 PCIe, NVMe, Leitura: 3500 MB/s e Gravação: 2100 MB/s - SNV2S/500G",Kingston,216.99,246.58,22.0,https://kabum.com.br/produto/380744/ssd-500-gb-kingston-nv2-m-2-2280-pcie-nvme-leitura-3500-mb-s-e-gravacao-2100-mb-s-snv2s-500g,Hardware/SSD/SSD PCIe NVMe,"['https://images.kabum.com.br/produtos/fotos/380744/ssd-kingston-nv2-500-gb-m-2-2280-pcie-nvme-leitura-2-100-mb-s-e-gravacao-1-700-mb-s-snv2s-500g_1666032961_original.jpg', 'https://images.kabum.com.br/produtos/fotos/380744/ssd-kingston-nv2-500-gb-m-2-2280-pcie-nvme-leitura-2-100-mb-s-e-gravacao-1-700-mb-s-snv2s-500g_1666032960_original.jpg', 'https://images.kabum.com.br/produtos/fotos/380744/ssd-kingston-nv2-500-gb-m-2-2280-pcie-nvme-leitura-2-100-mb-s-e-gravacao-1-700-mb-s-snv2s-500g_1666032962_original.jpg', 'https://images.kabum.com.br/produtos/fotos/380744/ssd-kingston-nv2-500-gb-m-2-2280-pcie-nvme-leitura-2-100-mb-s-e-gravacao-1-700-mb-s-snv2s-500g_1666032959_original.jpg']",KaBuM!,True,2023-06-01 08:00:00,141.0
